Activity Name,Description,Why It Matters,How To Do It,Developmental Area,Duration (min),Materials Required,Age Band,Source
Chest Tummy Time,A gentle activity that supports head and neck control.,"In these first months your baby is working on the very first physical task of life: holding their own head steady and learning that their body belongs to them. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Recline on a sofa or propped-up pillows, baby face-down on your bare chest, one hand supporting their back. Get face-to-face: your face is their strongest motivation to lift their head.",Gross Motor,2–5 min,None,0–3 months,AAP Safe Sleep and Tummy Time; WHO Motor Development; IAP
Floor Tummy Time,A gentle activity that supports head and neck control.,"In these first months your baby is working on the very first physical task of life: holding their own head steady and learning that their body belongs to them. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.","Lay baby face-down on a firm, clean surface. Place a rolled muslin under chest to ease the lift. Start 2 min and add 1 min per week.",Gross Motor,2–5 min,Muslin cloth,0–3 months,AAP Safe Sleep and Tummy Time; WHO Motor Development; IAP
Bicycle Legs,"A calm, close activity for building leg strength and kicking.","Babies this age cannot yet control their movements, so this is about giving the body the right opportunities rather than teaching a skill. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Lay baby on back; hold ankles gently and move legs in slow cycling motions. Say 'pedal, pedal' rhythmically while maintaining eye contact.",Gross Motor,3–5 min,None,0–3 months,ICMR-NIN Dietary Guidelines for Indians; IAP Infant and Young Child Feeding; IAP
Arm Stretch Midline,"A calm, close activity for building head and neck control.","In these first months your baby is working on the very first physical task of life: holding their own head steady and learning that their body belongs to them. Repetition matters far more than variety now, so the same thing tomorrow is exactly right.","Gently hold baby's forearms, slowly extend arms outward, then bring hands together at midline over chest. Repeat 5 times each side.",Gross Motor,3–5 min,None,0–3 months,WHO Motor Development Milestones; AAP Safe Sleep and Tummy Time; IAP
Visual Tracking Card,A gentle activity that supports visual tracking with head movement.,"Every small movement now is building the neck, shoulder and trunk strength that rolling and sitting will later depend on. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Hold a high-contrast B&W card 25 cm from baby's face. Move it slowly left then right. Let eyes find it before you move again.,Gross Motor,3–5 min,Paper with B&W pattern,0–3 months,WHO Motor Development Milestones; AAP Safe Sleep and Tummy Time; IAP
Supported Upright Hold,A gentle activity that supports early trunk support.,In these first months your baby is working on the very first physical task of life: holding their own head steady and learning that their body belongs to them. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.,Hold baby upright against your shoulder and let them practice holding their head for 10–15 seconds. Support gently: don't grip.,Gross Motor,3–5 min,None,0–3 months,WHO Motor Development Milestones; AAP Safe Sleep and Tummy Time; IAP
Leg Kicking Scarf,A simple everyday moment that supports leg strength and kicking.,In these first months your baby is working on the very first physical task of life: holding their own head steady and learning that their body belongs to them. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.,Hold a light scarf 15 cm above baby's feet while they lie on back. Let them discover kicking makes it move: first cause-effect feedback.,Gross Motor,5–10 min,Light scarf or cloth,0–3 months,WHO Motor Development Milestones; AAP Safe Sleep and Tummy Time; IAP
Side-Lying Practice,A gentle activity that supports early rolling.,"Every small movement now is building the neck, shoulder and trunk strength that rolling and sitting will later depend on. At this age your only job is to offer it warmly and let your baby respond however they do; there is nothing to achieve and nothing to get right.",Place baby on their side with a rolled towel tucked behind their back for support. Alternate sides each session; 5 min per side.,Gross Motor,5–10 min,Rolled towel,0–3 months,WHO Motor Development Milestones; AAP Safe Sleep and Tummy Time; IAP
Grip My Finger,"A calm, close activity for building reflexive grasp.","Your baby's hands are mostly working on reflex at this stage, and this gently invites them to open, feel and eventually grasp on purpose. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",Place your index finger in baby's palm and let the grasp reflex close around it. Gently tug to stimulate the grip.,Fine Motor,3–5 min,None,0–3 months,AOTA Early Development; AAP Developmental Milestones; IAP
Hand Massage,A simple everyday moment that supports reflexive grasp.,"Before a baby can reach for anything they need to discover their hands exist, and this is part of that discovery. Keep it short and stop as soon as your baby looks away or fusses. Their attention span is measured in moments, and that is normal.",With warm hands make small circular motions across each palm and each finger. Open fisted hands gently with thumb-stroke wrist to fingertips.,Fine Motor,5–10 min,Warm oil (optional),0–3 months,AOTA Early Development; AAP Developmental Milestones; IAP
